geneID	x	y	MIDCounts
0610012G03Rik	516	680	1
0610012G03Rik	941	281	1
0610012G03Rik	468	112	1
0610012G03Rik	909	155	2
0610012G03Rik	790	934	4
0610012G03Rik	236	488	1
0610012G03Rik	1083	725	2
0610012G03Rik	781	560	2
0610012G03Rik	809	967	1
0610012G03Rik	419	1050	1
0610012G03Rik	458	1008	1
0610012G03Rik	694	862	1
0610012G03Rik	470	376	1
0610012G03Rik	881	325	2
0610012G03Rik	854	84	1
0610012G03Rik	218	581	1
0610012G03Rik	285	46	1
0610012G03Rik	658	151	4
0610012G03Rik	897	455	4
0610012G03Rik	804	87	1
0610012G03Rik	120	585	2
0610012G03Rik	818	833	4
0610012G03Rik	65	374	2
0610012G03Rik	522	485	1
0610012G03Rik	223	589	1
0610012G03Rik	312	760	2
0610012G03Rik	387	975	2
0610012G03Rik	316	1139	1
0610012G03Rik	665	747	1
0610012G03Rik	262	638	2
0610012G03Rik	334	667	1
0610012G03Rik	75	347	1
0610012G03Rik	766	260	1
0610012G03Rik	464	1161	2
0610012G03Rik	382	362	1
0610012G03Rik	890	614	2
0610012G03Rik	571	440	1
0610012G03Rik	270	76	1
0610012G03Rik	168	704	1
0610012G03Rik	46	497	1
0610012G03Rik	1066	466	1
0610012G03Rik	689	283	1
0610012G03Rik	48	580	1
0610012G03Rik	118	722	1
0610012G03Rik	1031	186	2
0610012G03Rik	366	585	1
0610012G03Rik	51	1105	1
0610012G03Rik	964	977	1
0610012G03Rik	863	176	2
0610012G03Rik	766	759	1
0610012G03Rik	248	1038	1
0610012G03Rik	567	80	4
0610012G03Rik	574	632	1
0610012G03Rik	1018	44	1
0610012G03Rik	1084	227	1
0610012G03Rik	842	303	1
0610012G03Rik	522	41	2
0610012G03Rik	680	1105	2
0610012G03Rik	536	660	1
0610012G03Rik	555	459	1
0610012G03Rik	790	373	1
0610012G03Rik	893	986	1
0610012G03Rik	626	543	1
0610012G03Rik	362	694	3
0610012G03Rik	1181	1144	1
0610012G03Rik	337	426	1
0610012G03Rik	69	470	3
0610012G03Rik	300	497	1
0610012G03Rik	587	813	1
0610012G03Rik	549	202	1
0610012G03Rik	451	816	1
0610012G03Rik	12	143	1
0610012G03Rik	114	120	1
0610012G03Rik	979	840	1
0610012G03Rik	720	585	1
0610012G03Rik	470	295	1
0610012G03Rik	166	155	1
0610012G03Rik	635	546	4
0610012G03Rik	398	801	2
0610012G03Rik	946	264	1
0610012G03Rik	659	1182	3
0610012G03Rik	542	1014	3
0610012G03Rik	130	845	2
0610012G03Rik	348	1129	3
0610012G03Rik	273	190	2
0610012G03Rik	964	1024	1
0610012G03Rik	285	24	2
0610012G03Rik	1013	181	1
0610012G03Rik	396	293	3
0610012G03Rik	206	619	1
0610012G03Rik	862	128	1
0610012G03Rik	1033	742	2
0610012G03Rik	76	262	4
0610012G03Rik	558	268	4
0610012G03Rik	973	618	2
0610012G03Rik	636	592	1
0610012G03Rik	359	868	3
0610012G03Rik	984	67	3
0610012G03Rik	926	1161	1
0610012G03Rik	577	647	3
0610012G03Rik	733	501	4
0610012G03Rik	227	722	1
0610012G03Rik	295	547	2
0610012G03Rik	727	501	3
0610012G03Rik	1082	726	3
0610012G03Rik	879	902	2
0610012G03Rik	565	997	2
0610012G03Rik	589	954	3
0610012G03Rik	348	1086	1
0610012G03Rik	371	758	1
0610012G03Rik	677	463	2
0610012G03Rik	682	549	1
0610012G03Rik	609	788	1
0610012G03Rik	231	672	4
0610012G03Rik	699	901	1
0610012G03Rik	58	302	2
0610012G03Rik	807	794	1
0610012G03Rik	336	270	4
0610012G03Rik	620	485	1
0610012G03Rik	979	407	2
0610012G03Rik	622	23	2
0610012G03Rik	826	390	3
0610012G03Rik	379	31	1
0610012G03Rik	1180	193	2
0610012G03Rik	709	166	2
0610012G03Rik	717	223	3
0610012G03Rik	1026	576	1
0610012G03Rik	884	273	1
0610012G03Rik	1080	1160	3
0610012G03Rik	746	40	1
0610012G03Rik	129	399	3
0610012G03Rik	861	107	4
0610012G03Rik	734	262	1
0610012G03Rik	28	761	1
0610012G03Rik	764	610	2
0610012G03Rik	820	727	4
0610012G03Rik	144	983	1
0610012G03Rik	1062	815	1
0610012G03Rik	220	632	2
0610012G03Rik	1113	821	1
0610012G03Rik	156	854	2
0610012G03Rik	390	3	2
0610012G03Rik	408	1000	3
0610012G03Rik	220	953	2
0610012G03Rik	548	879	2
0610012G03Rik	587	1059	3
0610012G03Rik	901	590	1
0610012G03Rik	32	1191	1
0610012G03Rik	694	145	4
0610012G03Rik	209	573	1
0610012G03Rik	1073	302	1
0610012G03Rik	317	542	1
0610012G03Rik	818	1001	1
0610012G03Rik	771	480	1
0610012G03Rik	838	541	2
0610012G03Rik	561	1113	2
0610012G03Rik	181	994	2
0610012G03Rik	583	819	1
0610012G03Rik	598	924	1
0610012G03Rik	960	65	1
0610012G03Rik	360	980	1
0610012G03Rik	657	885	1
0610012G03Rik	1058	1068	1
0610012G03Rik	376	1130	1
0610012G03Rik	643	118	4
0610012G03Rik	271	1167	1
0610012G03Rik	45	1100	1
0610012G03Rik	4	627	2
0610012G03Rik	389	353	2
0610012G03Rik	222	584	1
0610012G03Rik	1045	906	1
0610012G03Rik	267	529	1
0610012G03Rik	554	358	3
0610012G03Rik	254	204	1
0610012G03Rik	899	117	1
0610012G03Rik	979	63	1
0610012G03Rik	284	852	2
0610012G03Rik	188	985	1
0610012G03Rik	1062	816	3
0610012G03Rik	634	986	1
0610012G03Rik	707	1039	1
0610012G03Rik	675	671	4
0610012G03Rik	153	1055	1
0610012G03Rik	122	1107	1
0610012G03Rik	917	168	1
0610012G03Rik	522	716	2
0610012G03Rik	531	581	1
0610012G03Rik	324	397	2
0610012G03Rik	674	279	2
0610012G03Rik	335	318	1
0610012G03Rik	767	551	1
0610012G03Rik	799	996	1
0610012G03Rik	384	892	2
0610012G03Rik	1188	757	1
0610012G03Rik	435	206	2
0610012G03Rik	746	501	2
0610012G03Rik	261	518	1
0610012G03Rik	0	1112	3
0610012G03Rik	492	1055	1
0610012G03Rik	331	323	1
0610012G03Rik	52	644	1
0610012G03Rik	587	1018	1
0610012G03Rik	1122	8	1
0610012G03Rik	405	386	2
0610012G03Rik	1159	125	3
0610012G03Rik	1057	730	1
0610012G03Rik	133	966	1
0610012G03Rik	1191	91	3
0610012G03Rik	444	1103	1
0610012G03Rik	804	636	2
0610012G03Rik	672	181	1
0610012G03Rik	24	1059	1
0610012G03Rik	132	647	1
0610012G03Rik	962	722	1
0610012G03Rik	273	191	4
0610012G03Rik	1084	297	1
0610012G03Rik	755	140	1
0610012G03Rik	472	979	1
0610012G03Rik	484	399	4
0610012G03Rik	401	1052	1
0610012G03Rik	1036	752	1
0610012G03Rik	1121	823	1
0610012G03Rik	361	1078	2
0610012G03Rik	477	1199	4
0610012G03Rik	361	478	1
0610012G03Rik	643	723	1
0610012G03Rik	377	904	1
0610012G03Rik	443	858	1
0610012G03Rik	896	253	1
0610012G03Rik	204	331	1
0610012G03Rik	932	454	2
0610012G03Rik	1016	1156	3
0610012G03Rik	258	1197	1
0610012G03Rik	564	785	4
0610012G03Rik	71	426	3
0610012G03Rik	540	958	3
0610012G03Rik	691	1000	1
0610012G03Rik	417	994	4
0610012G03Rik	767	407	1
0610012G03Rik	952	364	1
0610012G03Rik	907	860	1
0610012G03Rik	878	713	2
0610012G03Rik	358	1166	3
0610012G03Rik	374	289	1
0610012G03Rik	439	656	1
0610012G03Rik	10	939	1
0610012G03Rik	482	717	4
0610012G03Rik	768	330	2
0610012G03Rik	682	605	1
0610012G03Rik	129	1050	2
0610030E20Rik	247	280	4
0610030E20Rik	130	809	1
0610030E20Rik	900	534	2
0610030E20Rik	772	922	1
0610030E20Rik	159	531	1
0610030E20Rik	846	382	4
0610030E20Rik	513	111	3
0610030E20Rik	367	718	4
0610030E20Rik	579	752	2
0610030E20Rik	348	584	2
0610030E20Rik	121	472	2
0610030E20Rik	87	858	1
0610030E20Rik	1023	611	1
0610030E20Rik	720	651	1
0610030E20Rik	356	154	1
0610037L13Rik	271	861	2
0610037L13Rik	680	236	4
0610037L13Rik	22	346	4
0610037L13Rik	702	152	1
0610037L13Rik	682	812	3
0610037L13Rik	206	432	2
0610037L13Rik	765	730	2
0610037L13Rik	552	1133	3
0610037L13Rik	888	654	2
0610037L13Rik	360	584	1
0610037L13Rik	328	255	3
0610037L13Rik	481	851	1
0610037L13Rik	181	416	1
0610037L13Rik	647	1001	1
0610037L13Rik	1125	895	1
0610037L13Rik	484	908	4
0610037L13Rik	300	1199	3
0610037L13Rik	320	364	3
0610037L13Rik	159	384	1
0610037L13Rik	209	501	1
0610037L13Rik	768	401	4
0610037L13Rik	730	853	1
0610037L13Rik	66	678	1
0610037L13Rik	147	180	2
0610037L13Rik	790	914	3
0610037L13Rik	654	782	1
0610037L13Rik	822	527	1
0610037L13Rik	888	242	1
0610037L13Rik	515	853	1
0610037L13Rik	372	596	1
0610037L13Rik	710	156	2
0610037L13Rik	545	374	1
0610037L13Rik	180	1196	2
0610037L13Rik	220	1014	1
0610037L13Rik	886	877	2
0610037L13Rik	632	219	1
0610037L13Rik	271	210	1
