geneID	x	y	MIDCounts
0610009B22Rik	9428	12781	1
0610009B22Rik	10553	9518	1
0610009B22Rik	11223	8942	1
0610009B22Rik	8771	17741	3
0610009B22Rik	8060	8169	2
0610009B22Rik	9538	15048	1
0610009B22Rik	4557	9742	2
0610009B22Rik	4251	10568	1
0610009B22Rik	9196	16963	1
0610009B22Rik	11584	9411	2
0610009B22Rik	11913	12062	1
0610009B22Rik	4304	12223	2
0610009B22Rik	9873	15418	2
0610009B22Rik	11455	7734	2
0610009B22Rik	10350	16479	2
0610009B22Rik	7968	9545	1
0610009B22Rik	9863	18024	2
0610009B22Rik	10623	15506	1
0610009B22Rik	8668	17845	1
0610009B22Rik	4594	11993	3
0610009B22Rik	12041	13456	1
0610009B22Rik	6716	9769	3
0610009B22Rik	9201	12773	1
0610009B22Rik	12748	11411	2
0610009B22Rik	11073	8957	4
0610009B22Rik	12757	12994	1
0610009B22Rik	7077	15630	1
0610009B22Rik	10026	10395	1
0610009B22Rik	6643	16638	3
0610009B22Rik	8959	11272	4
0610009B22Rik	7441	8461	1
0610009B22Rik	4342	10930	1
0610009B22Rik	5557	14299	4
0610009B22Rik	11589	12216	2
0610009B22Rik	6392	9259	5
0610009B22Rik	10714	10277	3
0610009B22Rik	4223	13369	2
0610009B22Rik	6396	10762	1
0610009B22Rik	9695	9057	2
0610009B22Rik	6133	10912	1
0610009B22Rik	9651	8396	3
0610009B22Rik	11158	12829	2
0610009B22Rik	7638	10309	1
0610009B22Rik	5864	15245	1
0610009B22Rik	11564	7936	4
0610009B22Rik	10815	12601	2
0610009B22Rik	7346	7129	1
0610009B22Rik	6188	11915	1
0610009B22Rik	12699	10066	1
0610009B22Rik	8927	16195	1
0610009B22Rik	7216	12284	1
0610009B22Rik	6924	15667	1
0610009B22Rik	9693	8014	2
0610009B22Rik	9242	16238	3
0610009B22Rik	8582	15353	3
0610009B22Rik	9749	17280	3
0610009B22Rik	10496	7241	3
0610009B22Rik	10648	12895	4
0610009B22Rik	10792	15620	2
0610009B22Rik	7345	10420	2
0610009B22Rik	9582	12251	2
0610009B22Rik	7829	17576	3
0610009B22Rik	4339	12710	1
0610009B22Rik	11911	8507	2
0610009B22Rik	9707	16970	4
0610009B22Rik	12205	10514	1
0610009B22Rik	9147	13212	1
0610009B22Rik	8812	10387	2
0610009B22Rik	11130	11503	1
0610009B22Rik	4510	12261	1
0610009B22Rik	5543	14071	4
0610009B22Rik	9121	8081	1
0610009B22Rik	7547	17330	2
0610009B22Rik	6791	7878	1
0610009B22Rik	11237	11879	1
0610009B22Rik	8574	15697	2
0610009B22Rik	7384	13153	1
0610009B22Rik	9321	17833	1
0610009B22Rik	9844	13798	1
0610009B22Rik	10246	13917	3
0610009B22Rik	11712	10239	4
0610009B22Rik	7629	10076	1
0610009B22Rik	7389	6264	1
0610009B22Rik	10332	9500	1
0610009B22Rik	7170	12733	2
0610009B22Rik	7108	18161	1
0610009B22Rik	9047	9208	2
0610009B22Rik	12160	9993	1
0610009B22Rik	6128	10352	1
0610009B22Rik	11763	11851	1
0610009B22Rik	8044	9544	3
0610009B22Rik	6987	6478	2
0610009B22Rik	8237	13070	1
0610009B22Rik	8491	17960	3
0610009B22Rik	8619	16623	1
0610009B22Rik	7334	18802	2
0610009B22Rik	8847	7892	4
0610009B22Rik	8209	10332	1
0610009B22Rik	7860	17614	1
0610009B22Rik	7699	18439	3
0610009B22Rik	8088	7642	1
0610009B22Rik	10692	12917	1
0610009B22Rik	8927	11028	1
0610009B22Rik	9869	8950	1
0610009B22Rik	8748	17756	1
0610009B22Rik	9802	13519	1
0610009B22Rik	11430	13989	1
0610009B22Rik	11269	13768	2
0610009B22Rik	5701	12152	2
0610009B22Rik	10686	13294	2
0610009B22Rik	10989	10054	2
0610009B22Rik	10747	9045	1
0610009B22Rik	9776	14355	4
0610009B22Rik	4206	10855	2
0610009B22Rik	12530	11802	1
0610009B22Rik	4935	14008	1
0610009B22Rik	5609	14026	1
0610009B22Rik	6303	15879	1
0610009B22Rik	11415	15185	1
0610009B22Rik	5929	14030	2
0610009B22Rik	9740	7340	1
0610009B22Rik	7518	11159	1
0610009B22Rik	4772	11733	1
0610009B22Rik	6322	12542	1
0610009B22Rik	8989	16387	4
0610009B22Rik	10800	12732	2
0610009B22Rik	4403	10873	1
0610009B22Rik	9229	8486	3
0610009B22Rik	6544	12302	1
0610009B22Rik	7052	11878	2
0610009B22Rik	8005	19522	4
0610009B22Rik	4999	14136	3
0610009B22Rik	12390	13163	1
0610009B22Rik	11345	10506	1
0610009B22Rik	10217	7969	1
0610009B22Rik	11682	14110	1
0610009B22Rik	11658	12556	1
0610009B22Rik	6686	12140	4
0610009B22Rik	6193	12919	1
0610009B22Rik	9003	17427	2
0610009B22Rik	6758	10808	1
0610009B22Rik	11459	15789	1
0610009B22Rik	12265	9115	1
0610009B22Rik	8812	10558	2
0610009B22Rik	8333	13664	2
0610009B22Rik	9939	16543	3
0610009B22Rik	6563	10953	1
0610009B22Rik	9519	10412	2
0610009B22Rik	12144	9247	1
0610009B22Rik	10964	15380	1
0610009B22Rik	12258	9511	1
0610009B22Rik	7842	12957	1
0610009B22Rik	9303	10102	2
0610009B22Rik	9935	6692	1
0610009B22Rik	9011	10004	2
0610009B22Rik	7331	12713	3
0610009B22Rik	8459	8542	1
0610009B22Rik	7135	6256	3
0610009B22Rik	10418	8487	4
0610009B22Rik	8694	15520	1
0610009B22Rik	7612	7465	2
0610009B22Rik	8494	17650	1
0610009B22Rik	11130	8390	1
0610009B22Rik	8310	10605	3
0610009B22Rik	10323	13465	2
0610009B22Rik	9333	7117	1
0610009B22Rik	9544	16047	2
0610009B22Rik	12365	12516	1
0610009B22Rik	6901	9329	2
0610009B22Rik	10994	14969	4
0610009B22Rik	7645	15386	3
0610009B22Rik	7176	16993	2
0610009B22Rik	8811	13884	1
0610009B22Rik	8054	7966	3
0610009B22Rik	9212	8180	1
0610009B22Rik	10646	12984	2
0610009B22Rik	5127	14601	3
0610009B22Rik	5204	12193	2
0610009B22Rik	7679	18310	4
0610009B22Rik	5926	14452	1
0610009B22Rik	11267	11363	2
0610009B22Rik	8026	7533	3
0610009B22Rik	8294	16820	1
0610009B22Rik	9061	15894	1
0610009B22Rik	12273	10209	1
0610009B22Rik	9036	10261	1
0610009B22Rik	7905	9977	2
0610009B22Rik	7733	17454	1
0610009B22Rik	10940	11799	3
0610009B22Rik	9775	16536	1
0610009B22Rik	10439	10218	2
0610009B22Rik	10826	12299	2
0610009B22Rik	8638	8738	1
0610009B22Rik	7682	6680	2
0610009B22Rik	10758	9283	4
0610009B22Rik	12780	11498	3
0610009B22Rik	10899	11801	1
0610009B22Rik	10382	14235	1
0610009B22Rik	10413	7369	1
0610009B22Rik	5643	15691	3
0610009B22Rik	7225	15379	2
0610009B22Rik	7710	11801	1
0610009B22Rik	12470	11215	2
0610009B22Rik	9387	11107	3
0610009B22Rik	11212	12873	1
0610009B22Rik	11986	12434	3
